CompanyLogo,Company,Code,Rank,MarketCap,Country,Categories,Description
https://companiesmarketcap.com/img/company-logos/256/TSLA.png,Tesla,TSLA,#11,$836.62 B,🇺🇸 USA,"Automakers, Tech, Electric Vehicles, Bitcoin, Manufacturing, EV charging, Autonomous driving, AI","Tesla, Inc. is an American company that manufactures and sells electric cars, as well as power storage and photovoltaic systems. The company's goal is to “accelerate the transition to sustainable energy”. The company name is based on the physicist and inventor Nikola Tesla."
https://companiesmarketcap.com/img/company-logos/256/AVGO.png,Broadcom,AVGO,#12,$806.83 B,🇺🇸 USA,"Semiconductors, Tech","Broadcom is a semiconductor company based in San José, California. The company was the semiconductor product division of Hewlett-Packard and later Agilent prior to its spin-off."
https://companiesmarketcap.com/img/company-logos/256/NVO.png,Novo Nordisk,NVO,#13,$625.38 B,🇩🇰 Denmark,"Pharmaceuticals, Biotech","Novo Nordisk A / S produces and markets pharmaceutical products and services. Since its founding in Denmark in 1923, the company has developed into a leading company in the diabetes sector worldwide."
https://companiesmarketcap.com/img/company-logos/256/JPM.png,JPMorgan Chase,JPM,#14,$596.24 B,🇺🇸 USA,"Banks, Financial services, Dow jones",No description
https://companiesmarketcap.com/img/company-logos/256/WMT.png,Walmart,WMT,#15,$562.24 B,🇺🇸 USA,"Retail, Dow jones, Supermarket Chains",Walmart Inc. is a global US retail group that dominates a large part of the US market. Walmart is number one in the Fortune Global 500 list of the top-selling companies in the world.
https://companiesmarketcap.com/img/company-logos/256/V.png,Visa,V,#16,$543.11 B,🇺🇸 USA,"Financial services, Dow jones","Visa Inc. is a stock corporation and, alongside Mastercard, one of the two major payment card companies and employed around 14,200 people in 2016. The VISA brand is a recursive acronym and stands for Visa International Service Association."
https://companiesmarketcap.com/img/company-logos/256/XOM.png,Exxon Mobil,XOM,#17,$497.66 B,🇺🇸 USA,"Oil&Gas, Energy",No description
https://companiesmarketcap.com/img/company-logos/256/TCEHY.png,Tencent,TCEHY,#18,$457.75 B,🇨🇳 China,"Tech, Internet, Video games, Esports","Tencent Holdings Ltd. is a Chinese tech company that provides messaging services, social networks on the Internet, online media, Internet value-added services, multiplayer online games (MMO, MMORPG), e-commerce and online advertising.The company is behind WeChat and QQ."
https://companiesmarketcap.com/img/company-logos/256/UNH.png,UnitedHealth,UNH,#19,$452.93 B,🇺🇸 USA,"Healthcare, Insurance, Dow jones",No description
https://companiesmarketcap.com/img/company-logos/256/ASML.png,ASML,ASML,#20,$424.98 B,🇳🇱 Netherlands,"Semiconductors, Tech, Tech Hardware",No description
https://companiesmarketcap.com/img/company-logos/256/005930.KS.png,Samsung,005930.KS,#21,$419.39 B,🇰🇷 South Korea,"Tech, Electronics, Tech Hardware, Manufacturing, Semiconductors","The Samsung Group is a South Korean conglomerate behind Samsung Electronics, the world's largest manufacturer of DRAM, NAND flash memory, SSD, television, refrigerator, cell phones and smartphones."
https://companiesmarketcap.com/img/company-logos/256/MA.png,Mastercard,MA,#22,$413.39 B,🇺🇸 USA,Financial services,"Mastercard Incorporated, based in Purchase near New York, is a listed payment service provider and employed around 18,600 people in 2019. Alongside VISA, Mastercard is one of the two major international companies for payment cards (credit cards, debit cards and prepaid cards).
Mastercard issues licenses to banks all over the world for the issuance of their cards (issuing licenses) and for the recruitment of contractors (acquiring licenses). The acceptance of the Mastercard is around 35 million contracting companies and around one million cash payment offices worldwide (as of 2014)."
https://companiesmarketcap.com/img/company-logos/256/COST.png,Costco,COST,#23,$393.17 B,🇺🇸 USA,"Retail, Supermarket Chains","Costco Wholesale Corporation is an American wholesale chain with headquarters in Issaquah near Seattle, Washington State."
https://companiesmarketcap.com/img/company-logos/256/PG.png,Procter & Gamble,PG,#24,$390.98 B,🇺🇸 USA,"Consumer goods, Dow jones","The Procter & Gamble Company is an American consumer goods group with headquarters in Cincinnati, Ohio, which is represented in 70 countries."
https://companiesmarketcap.com/img/company-logos/256/ORCL.png,Oracle,ORCL,#25,$387.69 B,🇺🇸 USA,"Software, Tech","Oracle Corporation is an American software and hardware manufacturer with its headquarters in Redwood City (Silicon Valley), California. The company specializes in the development and marketing of computer hardware and software for corporate customers - especially the Oracle Database system. Oracle is one of the world's largest software manufacturers in terms of sales. Oracle employs more than 138,000 people and has 430,000 customers in 175 countries. In addition to the database product Oracle Database, Oracle produces and sells the Oracle Fusion middleware as well as the JEE servers Oracle Application Server and Oracle WebLogic.
With sales of $ 39.5 billion and a profit of $3.7 billion, Oracle ranks 107th among the world's largest companies according to Forbes Global 2000 (as of fiscal year 2017). The company had a market cap of approximately $191 billion in mid-2018."
https://companiesmarketcap.com/img/company-logos/256/MC.PA.png,LVMH,MC.PA,#26,$372.21 B,🇫🇷 France,"Luxury goods, CAC 40, Clothing",No description
https://companiesmarketcap.com/img/company-logos/256/JNJ.png,Johnson & Johnson,JNJ,#27,$353.90 B,🇺🇸 USA,"Pharmaceuticals, Dow jones, Biotech","Johnson & Johnson is a global American pharmaceutical and consumer goods company with headquarters in New Brunswick, New Jersey. The company is listed in the Dow Jones Industrial Average."
https://companiesmarketcap.com/img/company-logos/256/HD.png,Home Depot,HD,#28,$334.26 B,🇺🇸 USA,"Retail, Dow jones","The Home Depot, Inc is an American home improvement chain based in Atlanta. It operates 2,284 DIY stores (as of April 2018) in North America (USA, Canada, Mexico, Puerto Rico) and claims to be the largest DIY store chain in the world. The company has over 400,000 employees.
The Home Depot also owns home improvement stores and user stores, such as the EXPO Design Center, Landscape Supply Garden Center, and a number of specialized stores.
The company was founded in Atlanta in 1978 by Bernie Marcus and Arthur Blank. It grew rapidly, with annual sales of $1 billion in 1986. In fiscal 2017, sales were $ 100.9 billion."
https://companiesmarketcap.com/img/company-logos/256/BAC.png,Bank of America,BAC,#29,$323.91 B,🇺🇸 USA,"Banks, Financial services","Bank of America Corporation is a major US bank headquartered in Charlotte, North Carolina. The company was at times the largest credit institution in the United States."
https://companiesmarketcap.com/img/company-logos/256/MRK.png,Merck,MRK,#30,$319.23 B,🇺🇸 USA,"Pharmaceuticals, Dow jones, Biotech",No description
https://companiesmarketcap.com/img/company-logos/256/ABBV.png,AbbVie,ABBV,#31,$296.75 B,🇺🇸 USA,"Pharmaceuticals, Biotech","The biotechnology and pharmaceutical company Abbvie, spelled AbbVie, was founded in 2013 as a spin-off from Abbott Laboratories and is traded on the NYSE stock exchange in the S&P 100 index under the symbol “ABBV”."
https://companiesmarketcap.com/img/company-logos/256/NFLX.png,Netflix,NFLX,#32,$295.48 B,🇺🇸 USA,"Entertainment, Internet, Tech","Netflix, Inc. is an American media company engaged in paid streaming and the production of films and series."
https://companiesmarketcap.com/img/company-logos/256/AMD.png,AMD,AMD,#33,$286.24 B,🇺🇸 USA,"Tech, Semiconductors, Electronics, Tech Hardware","Advanced Micro Devices (AMD) is an American chip developer headquartered in Santa Clara, California. AMD develops and produces microprocessors, chipsets, graphics chips and system-on-chip (SoC) solutions for the computer, communication and consumer industries. AMD has been fabless since the actual semiconductor production was spun off in Globalfoundries in 2009. The company has been listed in the Standard & Poor's 500 stock index since March 20, 2017, has around 9,700 employees worldwide and is the world's second largest x86 processor manufacturer after Intel (as of 2011). The company's shares were traded on the New York Stock Exchange from 1979 to 2014, and have been listed on NASDAQ since January 2, 2015."
https://companiesmarketcap.com/img/company-logos/256/CVX.png,Chevron,CVX,#34,$279.76 B,🇺🇸 USA,"Oil&Gas, Dow jones, Energy",No description
https://companiesmarketcap.com/img/company-logos/256/TM.png,Toyota,TM,#35,$273.79 B,🇯🇵 Japan,"Automakers, Manufacturing","Toyota Motor Corporation is a multinational company and one of the largest automobile manufacturers in the world. In 2016, the company manufactured approximately 10.2 million vehicles, making it the world's largest automaker in terms of production figures, ahead of Volkswagen AG."
https://companiesmarketcap.com/img/company-logos/256/NESN.SW.png,Nestlé,NESN.SW,#36,$271.21 B,🇨🇭 Switzerland,Food,"Nestlé S.A. is the world's largest food company and the largest industrial company in Switzerland. The head office is in Vevey, The company's portfolio includes over 2000 food and beverage brands such as: Nestea, Nespresso, Buitoni, Nesquik, Perrier, Chocapic and Crunch."
https://companiesmarketcap.com/img/company-logos/256/KO.png,Coca-Cola,KO,#37,$270.06 B,🇺🇸 USA,"Beverages, Dow jones","The Coca-Cola Company is an American beverage company specializing in soft drinks and based in Atlanta, Georgia in the United States. CEO is James Quincey. The Coca-Cola Company describes itself as the largest beverage company worldwide."
https://companiesmarketcap.com/img/company-logos/256/1398.HK.png,ICBC,1398.HK,#38,$268.85 B,🇨🇳 China,"Banks, Financial services","The Industrial and Commercial Bank of China Limited is the largest bank in the People's Republic of China and the world in terms of total assets. With sales of $176 billion, it ranked #1 in Forbes Global 2000 of the 2,000 largest listed companies in the world in 2019."
https://companiesmarketcap.com/img/company-logos/256/RELIANCE.NS.png,Reliance Industries,RELIANCE.NS,#39,$255.64 B,🇮🇳 India,Conglomerate,No description
https://companiesmarketcap.com/img/company-logos/256/601857.SS.png,PetroChina,601857.SS,#40,$251.52 B,🇨🇳 China,"Oil&Gas, Energy","PetroChina Company Limited is the largest Chinese oil company with a network of over 18,000 filling stations, making it one of the largest listed companies in the world."
https://companiesmarketcap.com/img/company-logos/256/ADBE.png,Adobe,ADBE,#41,$250.97 B,🇺🇸 USA,"Software, Tech, AI","Adobe Inc. is an American software company registered in the state of Delaware. It was founded in 1982 by John Warnock and Charles Geschke, the inventors of the PostScript page description language."
https://companiesmarketcap.com/img/company-logos/256/600519.SS.png,Kweichow Moutai,600519.SS,#42,$248.23 B,🇨🇳 China,"Alcoholic beverages, Beverages",Kweichow Moutai produces and sells high-end Chinese liquors. The Moutai liquor is very popular in China.
https://companiesmarketcap.com/img/company-logos/256/IHC.AE.png,International Holding Company,IHC.AE,#43,$246.59 B,🇦🇪 United Arab Emirates,"Investment, Conglomerate",No description
https://companiesmarketcap.com/img/company-logos/256/CRM.png,Salesforce,CRM,#44,$244.60 B,🇺🇸 USA,"Software, Dow jones, Tech",No description
https://companiesmarketcap.com/img/company-logos/256/AZN.png,AstraZeneca,AZN,#45,$239.10 B,🇬🇧 UK,"Pharmaceuticals, Biotech",No description
https://companiesmarketcap.com/img/company-logos/256/RMS.PA.png,Hermès,RMS.PA,#46,$234.09 B,🇫🇷 France,"Luxury goods, CAC 40, Clothing",No description
https://companiesmarketcap.com/img/company-logos/256/SAP.png,SAP,SAP,#47,$233.77 B,🇩🇪 Germany,"Tech, Software, DAX","SAP SE, is a German software company based in Walldorf (Baden-Württemberg). SAP is the largest European and the third largest listed software company in terms of sales."
https://companiesmarketcap.com/img/company-logos/256/OR.PA.png,L'Oréal,OR.PA,#48,$232.62 B,🇫🇷 France,"Consumer goods, CAC 40, Cosmetics and Beauty","L’Oréal S.A. is a French consumer goods group with headquarters in Paris and currently the largest cosmetics manufacturer in the world. The company owns brands such as L’Oréal Paris, Garnier, Maybelline Jade, Essie, Softsheen Carson and NYX Cosmetics."
https://companiesmarketcap.com/img/company-logos/256/QCOM.png,QUALCOMM,QCOM,#49,$231.14 B,🇺🇸 USA,"Tech, Semiconductors, Tech Hardware",No description
https://companiesmarketcap.com/img/company-logos/256/SHEL.png,Shell,SHEL,#50,$227.98 B,🇬🇧 UK,"Oil&Gas, Energy","The Royal Dutch Shell is one of the world's largest mineral oil and natural gas companies. The group is active in more than 140 countries. Shell employs around 83,000 people worldwide."
https://companiesmarketcap.com/img/company-logos/256/PEP.png,Pepsico,PEP,#51,$222.57 B,🇺🇸 USA,Beverages,"PepsiCo, Inc. is an American beverage and food company headquartered in Purchase, New York. PepsiCo is currently the Coca-Cola Company's biggest competitor."
https://companiesmarketcap.com/img/company-logos/256/ROG.SW.png,Roche,ROG.SW,#52,$222.04 B,🇨🇭 Switzerland,"Pharmaceuticals, Biotech",No description
https://companiesmarketcap.com/img/company-logos/256/NVS.png,Novartis,NVS,#53,$220.83 B,🇨🇭 Switzerland,"Pharmaceuticals, Biotech","Novartis AG is a biotechnology and pharmaceutical company based in Basel, Switzerland. Novartis was formed in 1996 from a merger of the two Basel pharmaceutical and chemical companies Ciba-Geigy AG and Sandoz AG. Novartis is one of the largest pharmaceutical companies in the world with sales of USD 47.4 billion in 2019."
https://companiesmarketcap.com/img/company-logos/256/601288.SS.png,Agricultural Bank of China,601288.SS,#54,$212.89 B,🇨🇳 China,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/0941.HK.png,China Mobile,0941.HK,#55,$212.21 B,🇨🇳 China,Telecommunication,China Mobile Ltd. is the world's largest mobile operator by customer base and is listed on the Hong Kong Stock Exchange. The company was entered in the Hong Kong Commercial Register under the name China Telecom in 1997 and changed it to China Mobile in 2000.
https://companiesmarketcap.com/img/company-logos/256/TMUS.png,T-Mobile US,TMUS,#56,$210.40 B,🇺🇸 USA,Telecommunication,No description
https://companiesmarketcap.com/img/company-logos/256/WFC.png,Wells Fargo,WFC,#57,$208.76 B,🇺🇸 USA,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/AMAT.png,Applied Materials,AMAT,#58,$208.21 B,🇺🇸 USA,"Semiconductors, Tech, Tech Hardware","Applied Materials, Inc. is one of the world's largest semiconductor companies.
The company supplies equipment, services and software for the manufacture of semiconductor chips for electronics, flat panel displays for computers, smartphones, televisions, and solar products."
https://companiesmarketcap.com/img/company-logos/256/LIN.png,Linde,LIN,#59,$207.28 B,🇬🇧 UK,Chemicals,"Linde (The Linde Group) is a listed, globally active industrial group headquartered in Dublin and with operational headquarters in Guildford, UK. Linde's core business are process plants that extract or produce gases. Linde is the global market leader in industrial gases ahead of its French competitor Air Liquide."
https://companiesmarketcap.com/img/company-logos/256/TMO.png,Thermo Fisher Scientific,TMO,#60,$203.01 B,🇺🇸 USA,"Scientific & Technical Instruments, Diagnostics and Testing, Biotech","Thermo Fisher Scientific Inc., also known as Thermo Fisher, is an American technology company based in Waltham, Massachusetts. It describes itself as ""the world's largest supplier of scientific applications."""
https://companiesmarketcap.com/img/company-logos/256/PDD.png,Pinduoduo,PDD,#61,$191.26 B,🇨🇳 China,"E-Commerce, Internet, Tech",No description
https://companiesmarketcap.com/img/company-logos/256/ARM.png,Arm Holdings,ARM,#62,$191.00 B,🇬🇧 UK,"Semiconductors, Tech, Tech Hardware",No description
https://companiesmarketcap.com/img/company-logos/256/ACN.png,Accenture,ACN,#63,$186.70 B,🇮🇪 Ireland,Professional services,"Accenture plc is a major Irish-American professional services company with headquarters in Dublin.
Accenture provides consulting services and solutions for a large variety of industries such as: Health, Aerospace, Energy, Retail, Automobile and Banking."
https://companiesmarketcap.com/img/company-logos/256/CSCO.png,Cisco,CSCO,#64,$184.51 B,🇺🇸 USA,"Tech, Electronics, Networking hardware, Dow jones, Telecommunications equipment, Tech Hardware","Cisco Systems, Inc. is an American company in the telecommunications industry. It is primarily known for its routers and switches, which are used by a substantial part of the Internet backbones.
Cisco was founded in December 1984 by a group of scientists (primarily Leonard Bosack and Sandy Lerner) from Stanford University near San Francisco."
https://companiesmarketcap.com/img/company-logos/256/TXN.png,Texas Instruments,TXN,#65,$182.24 B,🇺🇸 USA,"Semiconductors, Tech, Tech Hardware","Texas Instruments Incorporated, often referred to as TI, is one of the largest US technology companies. TI designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally."
https://companiesmarketcap.com/img/company-logos/256/INTU.png,Intuit,INTU,#66,$181.82 B,🇺🇸 USA,"Software, Tech",No description
https://companiesmarketcap.com/img/company-logos/256/BABA.png,Alibaba,BABA,#67,$179.86 B,🇨🇳 China,"E-Commerce, Tech, Internet, Retail","The company had 4,400 permanent employees in 2007, and the number of employees rose to around 66,500 by 2018. At the company u. a. Yahoo and Softbank involved. Sales on Alibaba Group's Chinese retail platforms totaled over 4.8 trillion yuan ($677 billion) in 2017.
In the Forbes Global 2000 of the world's largest companies, the Alibaba Group ranks 59th (as of 2019). Alibaba had a market value of approximately USD 500 billion in mid-2018, making it one of the world's financially strongest companies."
https://companiesmarketcap.com/img/company-logos/256/GE.png,General Electric,GE,#68,$178.56 B,🇺🇸 USA,"Aerospace, Conglomerate",No description
https://companiesmarketcap.com/img/company-logos/256/DHR.png,Danaher,DHR,#69,$177.60 B,🇺🇸 USA,Conglomerate,No description
https://companiesmarketcap.com/img/company-logos/256/MCD.png,McDonald,MCD,#70,$177.15 B,🇺🇸 USA,"Restaurant chains, Dow jones, Food",McDonald’s Corporation is an American operator and franchisor of fast food restaurants represented worldwide and the biggest fast food company in the world.
https://companiesmarketcap.com/img/company-logos/256/601939.SS.png,China Construction Bank,601939.SS,#71,$177.14 B,🇨🇳 China,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/DIS.png,Walt Disney,DIS,#72,$176.92 B,🇺🇸 USA,"Entertainment, Dow jones","The Walt Disney Company, commonly known as Disney, is an American media company. Disney became internationally known for the production of animated films and entertainment films for children and young people."
https://companiesmarketcap.com/img/company-logos/256/ABT.png,Abbott Laboratories,ABT,#73,$176.81 B,🇺🇸 USA,devices,"Abbott Laboratories (ABT), (founding name: Abbott Alkaloid Company) is a global pharmaceutical company with around 73,000 employees in 150 countries. Abbott was founded in 1888 by Wallace C. Abbott (1857-1921) and is headquartered in Abbott Park, a northern suburb of Chicago, Illinois."
https://companiesmarketcap.com/img/company-logos/256/601988.SS.png,Bank of China,601988.SS,#74,$174.80 B,🇨🇳 China,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/VZ.png,Verizon,VZ,#75,$173.84 B,🇺🇸 USA,"Telecommunication, Dow jones","Verizon Communications Inc., or Verizon for short, is an American telecommunications company headquartered in New York City.
Verizon was founded on June 30, 2000 and is registered in Delaware, resulting from the merger of Bell Atlantic Corporation and GTE Corporation (formerly General Telephone & Electronics Corporation)."
https://companiesmarketcap.com/img/company-logos/256/AXP.png,American Express,AXP,#76,$171.01 B,🇺🇸 USA,"Financial services, Dow jones","The American Express Company, often abbreviated Amex, AmEx, AX or Amexco, is a global provider of financial services based in New York City, USA. The company is best known for its charge card, credit card, and traveler's cheque businesses."
https://companiesmarketcap.com/img/company-logos/256/TCS.NS.png,Tata Consultancy Services,TCS.NS,#77,$169.56 B,🇮🇳 India,"Professional services, IT services",No description
https://companiesmarketcap.com/img/company-logos/256/AMGN.png,Amgen,AMGN,#78,$169.46 B,🇺🇸 USA,"Pharmaceuticals, Dow jones, Biotech","The biotechnology company Amgen was founded in 1980 as AMGen. With approximately 20,000 employees, Amgen is one of the world's largest biotechnology companies with annual sales of approximately $ 24 billion in 2018."
https://companiesmarketcap.com/img/company-logos/256/MS.png,Morgan Stanley,MS,#79,$166.75 B,🇺🇸 USA,"Banks, Financial services, Investment",No description
https://companiesmarketcap.com/img/company-logos/256/IBM.png,IBM,IBM,#80,$162.11 B,🇺🇸 USA,"Tech, Software, Dow jones, AI","The International Business Machines Corporation is an American IT and consulting company based in Armonk, New York. IBM is one of the world's leading companies for hardware, software and services in the IT sector and one of the largest consulting companies."
https://companiesmarketcap.com/img/company-logos/256/TTE.png,TotalEnergies,TTE,#81,$161.24 B,🇫🇷 France,"Oil&Gas, Energy, CAC 40",No description
https://companiesmarketcap.com/img/company-logos/256/HSBC.png,HSBC,HSBC,#82,$159.89 B,🇬🇧 UK,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/CAT.png,Caterpillar,CAT,#83,$159.46 B,🇺🇸 USA,"Dow jones, Machinery manufacturing, Manufacturing","Caterpillar Inc. is the world's largest construction equipment manufacturer with headquarters in Peoria, Illinois. In addition to construction machinery, Caterpillar also manufactures diesel engines, gas engines and industrial gas turbines."
https://companiesmarketcap.com/img/company-logos/256/PM.png,Philip Morris,PM,#84,$158.05 B,🇺🇸 USA,Tobacco,Philip Morris International Inc. is the world's largest private tobacco company. The group sells cigarettes in more than 180 countries and has a 15.5 percent share of the global tobacco market.
https://companiesmarketcap.com/img/company-logos/256/PFE.png,Pfizer,PFE,#85,$157.07 B,🇺🇸 USA,"Pharmaceuticals, Biotech","Pfizer Inc., is a global pharmaceutical company headquartered in New York City, New York, United States. It was founded by Charles Pfizer from Ludwigsburg. Pfizer is the second largest pharmaceutical company in the world after Roche, followed by Novartis."
https://companiesmarketcap.com/img/company-logos/256/ISRG.png,Intuitive Surgical,ISRG,#86,$156.88 B,🇺🇸 USA,devices,No description
https://companiesmarketcap.com/img/company-logos/256/PRX.AS.png,Prosus,PRX.AS,#87,$155.88 B,🇳🇱 Netherlands,Investment,No description
https://companiesmarketcap.com/img/company-logos/256/HDB.png,HDFC Bank,HDB,#88,$155.43 B,🇮🇳 India,"Banks, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/RY.png,Royal Bank Of Canada,RY,#89,$155.13 B,🇨🇦 Canada,"Banks, Financial services","The Royal Bank of Canada is Canada's largest bank. The bank has over 1,300 branches in Canada and approximately 80,000 employees in 55 countries."
https://companiesmarketcap.com/img/company-logos/256/IDEXY.png,Inditex,IDEXY,#90,$153.03 B,🇪🇸 Spain,"Clothing, Retail","Inditex is one of the worlds biggest textile company, Inditex owns several brands including: Zara, Massimo Dutti, Bershka and Pull & Bea"
https://companiesmarketcap.com/img/company-logos/256/NOW.png,ServiceNow,NOW,#91,$152.80 B,🇺🇸 USA,"Software, Internet, Tech","ServiceNow, Inc. is an American software company that develops a cloud computing platform to help companies manage digital workflows for enterprise operations."
https://companiesmarketcap.com/img/company-logos/256/GS.png,Goldman Sachs,GS,#92,$152.47 B,🇺🇸 USA,"Banks, Dow jones, Financial services",No description
https://companiesmarketcap.com/img/company-logos/256/UBER.png,Uber,UBER,#93,$149.02 B,🇺🇸 USA,"Ridesharing, Internet, Tech, Transportation","Uber Technologies, Inc., or simply Uber, is an American multinational ride-hailing company offering services that include peer-to-peer ridesharing, ride hailing, food delivery and freight transportation."
https://companiesmarketcap.com/img/company-logos/256/SIE.DE.png,Siemens,SIE.DE,#94,$148.60 B,🇩🇪 Germany,"Engineering, DAX",Siemens AG is a German multinational conglomerate company and the largest industrial manufacturing company in Europe.
https://companiesmarketcap.com/img/company-logos/256/NEE.png,Nextera Energy,NEE,#95,$148.17 B,🇺🇸 USA,"Energy, Electricity, Utility companies, Renewable energy",No description
https://companiesmarketcap.com/img/company-logos/256/BHP.png,BHP Group,BHP,#96,$147.67 B,🇦🇺 Australia,Mining,"BHP, formerly known as BHP Billiton, is the trading company of BHP Group Limited and BHP Group plc, an Anglo-Australian multinational mining, metals and petroleum company based in Melbourne, Victoria, Australia."
https://companiesmarketcap.com/img/company-logos/256/INTC.png,Intel,INTC,#97,$147.24 B,🇺🇸 USA,"Semiconductors, Tech, Dow jones, Tech Hardware, Manufacturing","Intel Corporation is an American semiconductor manufacturer headquartered in Santa Clara, California. It was founded in 1968 by employees of the Fairchild Semiconductor company."
https://companiesmarketcap.com/img/company-logos/256/CMCSA.png,Comcast,CMCSA,#98,$147.17 B,🇺🇸 USA,"Telecommunication, Media/Press, Entertainment",No description
https://companiesmarketcap.com/img/company-logos/256/LRCX.png,Lam Research,LRCX,#99,$145.45 B,🇺🇸 USA,"Semiconductors, Tech, Tech Hardware",No description
https://companiesmarketcap.com/img/company-logos/256/MU.png,Micron Technology,MU,#100,$145.41 B,🇺🇸 USA,"Tech, Tech Hardware, Semiconductors",No description
